"vehicleType",batteryVoltage,engineCoolantTemperature,engineSpeed,lateralGForce,longitudeGForce,speed,verticalGForce
"2011 Ford Mustang GT500","14.066",102,4820,"0.84","1.23",80,"-2.0"
"2011 Ford Mustang GT500","13.741",94,1989,"0.91","0.0",14,"-2.0"
"2014 Chevrolet Corvette","14.686",103,3923,"0.45","0.7",62,"-0.17"
"2015 Porsche GT3","13.891",91,4531,"0.86","0.61",67,"-2.0"
"2011 Ford Mustang GT500","13.741",94,1708,"0.83","-0.04",12,"-2.0"
"2014 Chevrolet Corvette","14.686",103,3842,"0.62","1.09",62,"-0.17"
"2011 Ford Mustang GT500","13.741",94,1604,"0.94","0.03",11,"-2.0"
"2013 Audi RS5","13.929",12,5658,"0.8","-0.91",44,"0.69"
"2011 Ford Mustang GT500","13.843",93,4221,"1.24","-0.32",70,"-2.0"
"2011 Ferrari 458","13.942",86,3690,"1.01","0.59",44,"0.14"
"2013 Audi RS5","13.929",12,8201,"0.99","-0.45",64,"0.53"
"2014 Chevrolet Corvette","14.66",103,3680,"0.55","-0.19",59,"-0.17"
"2015 Porsche GT3","14.188",84,2575,"-0.14","0.07",21,"-2.0"
"2013 Audi RS5","13.929",12,6231,"0.9","-0.14",70,"1.07"
"2011 Ferrari 458","13.915",83,2621,"0.89","-0.02",59,"-0.06"
"2011 Ford Mustang GT500","13.726",93,1907,"1.0","-0.15",13,"-2.0"
"2013 Audi RS5","13.929",12,6190,"0.51","-0.46",69,"0.8"
"2015 Porsche GT3","14.215",90,6354,"-0.21","-0.52",73,"-2.0"
"2011 Ford Mustang GT500","13.726",93,2224,"0.91","-0.14",16,"-2.0"
"2015 Porsche GT3","14.24",89,5605,"-0.29","-0.14",85,"-2.0"
"2014 Chevrolet Corvette","14.66",103,3589,"0.53","-0.5",58,"-0.17"
"2011 Ford Mustang GT500","13.726",93,2318,"1.0","-0.07",16,"-2.0"
"2013 Audi RS5","13.929",12,6165,"0.66","-0.76",68,"0.71"
"2014 Chevrolet Corvette","14.714",100,1006,"0.48","0.0",2,"-0.17"
"2011 Ford Mustang GT500","13.726",93,2279,"0.96","0.01",16,"-2.0"
"2011 Ford Mustang GT500","13.645",96,3277,"1.15","-0.59",55,"-2.0"
"2008 BMW M3","13.897",88,4111,"-0.11","-1.12",50,"0.08"
"2014 Chevrolet Corvette","14.904",101,2527,"0.39","-0.01",40,"-0.17"
"2008 BMW M3","13.826",86,6178,"0.38","-0.89",50,"-0.24"
"2011 Ford Mustang GT500","13.726",93,1981,"0.93","-0.01",14,"-2.0"
"2013 Audi RS5","13.877",91,6808,"1.0","-0.8",76,"0.73"
"2011 Ford Mustang GT500","13.726",93,1741,"0.86","0.32",12,"-2.0"
"2013 Audi RS5","13.877",91,7190,"1.04","-0.44",80,"0.77"
"2015 Porsche GT3","14.028",91,5300,"0.84","0.44",78,"-2.0"
"2011 Ferrari 458","14.016",85,4310,"1.04","-0.69",81,"-0.06"
"2014 Chevrolet Corvette","14.619",103,2984,"0.04","-0.67",45,"-0.17"
"2015 Porsche GT3","14.226",89,3800,"-0.71","-0.59",44,"-2.0"
"2013 Audi RS5","13.877",91,4914,"0.48","-0.02",74,"0.75"
"2011 Ford Mustang GT500","13.674",87,4226,"1.14","0.06",70,"-2.0"
"2013 Audi RS5","13.951",93,5167,"0.7","-0.95",77,"0.59"
"2013 Audi RS5","13.836",98,4423,"0.57","1.03",65,"0.89"
"2014 Chevrolet Corvette","14.619",103,2768,"0.38","-0.78",42,"-0.17"
"2011 Ford Mustang GT500","13.659",94,851,"0.97","0.09",7,"-2.0"
"2013 Audi RS5","13.877",91,5038,"0.32","0.33",57,"0.78"
"2008 BMW M3","13.858",80,4936,"0.23","-0.95",61,"-0.37"
"2008 BMW M3","13.832",88,4910,"-0.03","-1.03",82,"0.52"
"2011 Ford Mustang GT500","13.846",100,2629,"0.53","0.0",78,"-2.0"
"2011 Ford Mustang GT500","13.831",95,5156,"1.03","0.11",92,"-2.0"
"2011 Ford Mustang GT500","13.659",94,863,"0.9","0.04",5,"-2.0"
"2014 Chevrolet Corvette","14.619",103,3533,"0.75","-0.14",58,"-0.17"
"2011 Ford Mustang GT500","13.659",94,849,"0.93","-0.02",5,"-2.0"
"2015 Porsche GT3","13.995",91,6232,"-0.86","-0.76",91,"-2.0"
"2011 Ford Mustang GT500","13.659",94,833,"0.89","0.0",3,"-2.0"
"2013 Audi RS5","13.903",93,5001,"0.55","0.88",55,"0.92"
"2013 Audi RS5","13.951",93,5900,"0.82","-0.38",87,"0.57"
"2013 Audi RS5","13.903",93,5018,"0.71","0.8",56,"0.69"
"2013 Audi RS5","13.975",98,2020,"0.65","0.04",15,"0.81"
"2013 Audi RS5","13.903",93,5254,"0.71","0.84",58,"0.86"
"2014 Chevrolet Corvette","14.64",103,4411,"0.42","-0.7",71,"-0.17"
"2011 Ferrari 458","13.936",87,3641,"0.89","0.49",46,"0.2"
"2014 Chevrolet Corvette","14.64",103,4411,"0.55","-0.77",71,"-0.17"
"2013 Audi RS5","13.903",93,5574,"0.88","0.95",62,"0.75"
"2014 Chevrolet Corvette","14.64",103,4477,"0.59","-0.64",72,"-0.17"
"2013 Audi RS5","13.903",93,6019,"0.88","0.99",67,"0.82"
"2011 Ford Mustang GT500","14.011",92,4118,"0.8","1.45",89,"-2.0"
"2011 Ford Mustang GT500","13.858",84,5607,"1.19","-0.57",93,"-2.0"
"2013 Audi RS5","13.903",93,6237,"0.95","1.29",70,"1.0"
"2014 Chevrolet Corvette","14.64",103,4352,"0.43","0.0",69,"-0.17"
"2011 Ford Mustang GT500","13.811",96,3998,"0.67","-0.83",66,"-2.0"
"2013 Audi RS5","13.903",93,6415,"0.67","1.01",71,"0.59"
"2011 Ford Mustang GT500","13.742",91,3296,"0.84","-1.14",39,"-2.0"
"2011 Ferrari 458","13.937",85,1851,"0.99","-0.05",42,"-0.05"
"2013 Audi RS5","13.781",93,7115,"0.87","0.36",80,"0.52"
"2014 Chevrolet Corvette","14.673",103,3975,"0.21","0.26",64,"-0.17"
"2011 Ford Mustang GT500","14.052",91,6435,"0.52","0.19",75,"-2.0"
"2014 Chevrolet Corvette","14.673",103,3656,"0.37","0.66",58,"-0.17"
"2013 Audi RS5","13.781",93,7903,"0.82","0.34",90,"0.54"
"2014 Chevrolet Corvette","14.673",103,3639,"0.54","0.76",59,"-0.17"
"2013 Audi RS5","13.781",93,8051,"0.92","0.31",94,"0.61"
"2013 Audi RS5","13.943",17,5641,"0.57","0.57",85,"0.79"
"2015 Porsche GT3","14.06",85,1499,"-0.02","0.0",7,"-2.0"
"2014 Chevrolet Corvette","14.673",103,3789,"0.45","0.88",61,"-0.17"
"2013 Audi RS5","13.781",93,6729,"0.75","0.1",100,"0.69"
"2014 Chevrolet Corvette","14.786",103,3328,"0.52","-0.64",77,"-0.17"
"2011 Ford Mustang GT500","13.645",82,1498,"0.93","-0.04",11,"-2.0"
"2011 Ferrari 458","14.052",84,2663,"1.02","-0.04",60,"-0.08"
"2013 Audi RS5","13.818",96,4934,"0.36","0.03",92,"1.0"
"2014 Chevrolet Corvette","14.655",102,3345,"0.6","-1.02",37,"-0.17"
"2008 BMW M3","13.827",76,835,"-0.08","-1.03",2,"0.09"
"2013 Audi RS5","13.818",96,4944,"0.05","-0.02",53,"1.34"
"2014 Chevrolet Corvette","14.651",106,4780,"0.48","-0.84",77,"-0.17"
"2014 Chevrolet Corvette","14.698",102,1578,"0.5","-0.29",25,"-0.17"
"2008 BMW M3","13.919",90,5094,"0.22","-1.11",63,"0.35"
"2013 Audi RS5","13.818",96,5170,"0.53","-1.01",40,"0.82"
"2011 Ferrari 458","13.633",91,1339,"0.98","-0.02",6,"0.02"
"2011 Ferrari 458","14.068",84,3504,"1.07","-0.01",80,"-0.03"
"2015 Porsche GT3","14.134",84,3752,"0.01","0.15",30,"-2.0"
"2013 Audi RS5","13.818",96,5572,"0.7","-1.02",42,"0.7"
"2011 Ford Mustang GT500","13.682",93,5117,"1.06","-0.25",51,"-2.0"
"2014 Chevrolet Corvette","14.766",104,2825,"-0.04","-0.1",61,"-0.17"
"2014 Chevrolet Corvette","14.705",105,5260,"0.74","0.23",85,"-0.17"
"2014 Chevrolet Corvette","14.705",105,5729,"0.72","0.13",93,"-0.17"
"2013 Audi RS5","13.909",93,6735,"0.83","-0.93",53,"0.52"
"2014 Chevrolet Corvette","14.789",97,1035,"0.46","0.0",1,"-0.17"
"2013 Audi RS5","13.909",93,7411,"0.79","-0.83",57,"0.42"
"2014 Chevrolet Corvette","14.695",105,4222,"0.5","0.05",96,"-0.17"
"2008 BMW M3","13.807",79,2835,"0.17","-0.97",45,"-0.7"
"2014 Chevrolet Corvette","14.695",105,4083,"0.49","0.05",96,"-0.17"
"2013 Audi RS5","13.909",93,6177,"0.88","0.05",69,"0.51"
"2014 Chevrolet Corvette","14.695",105,4083,"0.01","0.03",92,"-0.17"
"2011 Ferrari 458","13.986",86,3922,"1.14","-0.9",60,"-0.06"
"2014 Chevrolet Corvette","14.695",105,3433,"0.43","-0.03",78,"-0.17"
"2013 Audi RS5","13.909",93,7082,"0.67","0.46",80,"0.64"
"2014 Chevrolet Corvette","14.695",105,3189,"0.16","0.0",72,"-0.17"
"2013 Audi RS5","13.909",93,5910,"0.54","-0.07",78,"0.75"
"2014 Chevrolet Corvette","14.695",105,2501,"-0.21","-0.12",57,"-0.17"
"2014 Chevrolet Corvette","14.415",104,3701,"0.6","-0.5",60,"-0.17"
"2014 Chevrolet Corvette","14.695",105,2708,"0.23","-0.61",42,"-0.17"
"2013 Audi RS5","13.924",35,4988,"0.55","-0.21",74,"0.89"
"2013 Audi RS5","13.924",35,4835,"0.57","0.63",72,"0.88"
"2014 Chevrolet Corvette","14.714",105,2477,"0.47","-0.94",42,"-0.17"
"2013 Audi RS5","13.924",35,4635,"0.54","1.01",68,"0.88"
"2014 Chevrolet Corvette","14.714",105,2477,"0.46","-0.79",39,"-0.17"
"2013 Audi RS5","13.924",35,4576,"0.47","0.7",68,"0.66"
"2015 Porsche GT3","14.124",91,744,"-0.12","0.07",6,"-2.0"
"2014 Chevrolet Corvette","14.459",104,3869,"0.47","0.11",88,"-0.17"
"2014 Chevrolet Corvette","14.714",105,2539,"0.59","-0.83",41,"-0.17"
"2013 Audi RS5","13.924",35,4563,"0.71","-0.94",67,"0.82"
"2015 Porsche GT3","14.1",90,6222,"0.87","0.13",71,"-2.0"
"2013 Audi RS5","13.924",35,4786,"0.86","-0.71",70,"0.65"
"2015 Porsche GT3","14.236",91,3971,"-0.88","-0.53",45,"-2.0"
"2011 Ferrari 458","13.961",87,5316,"1.18","0.38",66,"0.31"
"2014 Chevrolet Corvette","14.382",97,1986,"0.55","0.01",22,"-0.17"
"2011 Ford Mustang GT500","13.875",107,4208,"0.86","-0.13",48,"-2.0"
"2013 Audi RS5","13.845",92,7129,"0.76","-0.47",80,"0.43"
"2014 Chevrolet Corvette","14.739",104,3300,"0.61","-0.02",54,"-0.17"
"2013 Audi RS5","13.876",41,4734,"0.55","0.81",70,"0.84"
"2015 Porsche GT3","13.818",91,5520,"0.49","0.44",100,"-2.0"
"2011 Ferrari 458","13.983",85,4900,"1.07","-0.03",92,"0.15"
"2014 Chevrolet Corvette","14.613",105,3996,"0.51","0.76",64,"-0.17"
"2013 Audi RS5","13.845",92,6007,"0.67","0.65",90,"0.89"
"2008 BMW M3","13.86",84,3671,"-0.01","-0.9",45,"-0.74"
"2013 Audi RS5","13.845",92,5805,"0.52","0.73",86,"0.84"
"2014 Chevrolet Corvette","14.739",104,4211,"0.4","-0.35",68,"-0.17"
"2013 Audi RS5","13.845",92,5771,"0.62","0.63",84,"0.7"
"2014 Chevrolet Corvette","14.739",104,4180,"0.41","-0.46",68,"-0.17"
"2011 Ford Mustang GT500","14.022",85,3953,"0.88","-0.7",65,"-2.0"
"2014 Chevrolet Corvette","14.739",104,4180,"0.43","0.03",67,"-0.17"
"2013 Audi RS5","13.845",92,5688,"0.56","0.38",85,"0.75"
"2011 Ferrari 458","13.91",85,3419,"0.89","0.34",52,"0.2"
"2013 Audi RS5","14.014",,5660,"0.52","0.3",83,"0.82"
"2013 Audi RS5","14.014",,5228,"0.38","-0.14",78,"0.93"
"2014 Chevrolet Corvette","14.698",104,4124,"0.48","0.65",66,"-0.17"
"2013 Audi RS5","14.014",,5181,"0.63","-0.82",77,"0.76"
"2014 Chevrolet Corvette","14.698",104,4196,"0.41","0.63",67,"-0.17"
"2013 Audi RS5","14.014",,5244,"0.7","-0.91",78,"0.65"
"2008 BMW M3","13.857",86,4623,"-0.02","-1.11",57,"-0.46"
"2013 Audi RS5","14.014",,5440,"0.7","-0.73",81,"0.47"
"2015 Porsche GT3","13.925",91,6535,"-0.6","-0.13",95,"-2.0"
"2013 Audi RS5","14.014",,5677,"0.79","-0.77",85,"0.65"
"2015 Porsche GT3","14.072",91,5880,"-0.41","-0.54",87,"-2.0"
"2015 Porsche GT3","14.129",91,4945,"0.2","-0.17",72,"-2.0"
"2014 Chevrolet Corvette","14.698",104,4166,"0.46","-0.6",67,"-0.17"
"2013 Audi RS5","14.014",,6260,"0.79","-0.32",93,"0.54"
"2014 Chevrolet Corvette","14.698",104,4229,"0.53","-0.41",68,"-0.17"
"2015 Porsche GT3","13.951",89,4511,"0.47","0.31",66,"-2.0"
"2013 Audi RS5","13.875",,6538,"0.88","0.02",98,"0.63"
"2014 Chevrolet Corvette","14.6",104,4874,"0.68","-0.21",79,"-0.17"
"2013 Audi RS5","13.875",,6345,"0.45","0.21",94,"0.81"
"2014 Chevrolet Corvette","14.6",104,5051,"0.53","0.26",79,"-0.17"
"2013 Audi RS5","13.875",,5454,"0.02","0.11",81,"1.23"
"2008 BMW M3","13.9",88,5443,"0.11","-1.04",67,"-0.78"
"2011 Ferrari 458","13.636",91,1568,"1.01","-0.04",23,"-0.02"
"2014 Chevrolet Corvette","14.6",104,5004,"0.47","0.37",80,"-0.17"
"2011 Ford Mustang GT500","13.926",99,5213,"0.74","0.62",113,"-2.0"
"2014 Chevrolet Corvette","14.6",104,4860,"0.4","0.46",78,"-0.17"
"2015 Porsche GT3","13.932",90,4731,"-0.91","-0.37",54,"-2.0"
"2014 Chevrolet Corvette","14.6",104,4769,"0.35","0.61",76,"-0.17"
"2014 Chevrolet Corvette","14.851",105,5023,"0.59","-0.65",81,"-0.17"
"2008 BMW M3","13.868",90,4135,"0.31","-0.89",50,"-0.04"
"2008 BMW M3","13.894",88,2917,"0.1","-1.11",36,"-0.73"
"2014 Chevrolet Corvette","14.626",105,3303,"0.51","-0.87",52,"-0.17"
"2013 Audi RS5","14.031",9,4340,"0.69","-0.98",33,"0.71"
"2011 Ford Mustang GT500","13.841",95,5744,"0.96","-0.09",68,"-2.0"
"2014 Chevrolet Corvette","15.019",97,713,"0.39","-0.01",3,"-0.17"
"2008 BMW M3","13.472",91,826,"0.11","-1.01",1,"0.06"
"2014 Chevrolet Corvette","14.692",104,4405,"0.47","-0.49",70,"-0.17"
"2008 BMW M3","13.874",88,1278,"0.11","-0.98",6,"0.21"
"2014 Chevrolet Corvette","14.692",104,4411,"0.52","-0.64",71,"-0.17"
"2013 Audi RS5","14.031",9,7575,"0.95","-0.43",59,"0.48"
"2014 Chevrolet Corvette","14.692",104,4483,"0.6","-0.76",72,"-0.17"
"2011 Ford Mustang GT500","13.923",107,4350,"0.9","1.06",72,"-2.0"
"2014 Chevrolet Corvette","14.692",104,4543,"0.58","-0.73",73,"-0.17"
"2011 Ferrari 458","13.959",86,4955,"0.9","0.38",60,"0.03"
"2014 Chevrolet Corvette","14.692",104,4710,"0.55","-0.58",73,"-0.17"
"2008 BMW M3","13.87",91,7811,"-0.03","-1.16",64,"-0.49"
"2014 Chevrolet Corvette","14.692",104,4710,"0.61","-0.5",76,"-0.17"
"2014 Chevrolet Corvette","14.692",104,4891,"0.55","-0.26",79,"-0.17"
"2013 Audi RS5","14.046",94,5818,"0.82","0.51",86,"0.6"
"2014 Chevrolet Corvette","14.71",104,5010,"0.46","-0.05",80,"-0.17"
"2013 Audi RS5","14.046",94,6085,"0.77","0.76",90,"0.73"
"2014 Chevrolet Corvette","14.56",105,4200,"0.41","-0.17",67,"-0.17"
"2013 Audi RS5","14.117",91,5359,"0.68","-1.03",79,"0.59"
"2008 BMW M3","13.867",87,6489,"0.23","-1.02",79,"0.07"
"2013 Audi RS5","14.046",94,6616,"0.89","0.48",98,"0.65"
"2014 Chevrolet Corvette","14.71",104,3841,"0.24","0.05",69,"-0.17"
"2015 Porsche GT3","14.208",89,5480,"-0.3","0.68",93,"-2.0"
"2014 Chevrolet Corvette","14.71",104,3841,"0.27","-0.05",60,"-0.17"
"2013 Audi RS5","14.046",94,6286,"0.48","0.04",93,"0.76"
"2014 Chevrolet Corvette","14.71",104,3841,"-0.04","0.0",60,"-0.17"
"2014 Chevrolet Corvette","14.805",105,3510,"0.69","-0.77",39,"-0.17"
"2014 Chevrolet Corvette","14.71",104,2633,"0.34","-0.02",40,"-0.17"
"2013 Audi RS5","14.046",94,5900,"0.57","0.76",88,"0.84"
"2011 Ford Mustang GT500","13.688",92,2305,"0.66","-0.08",36,"-2.0"
"2013 Audi RS5","13.794",63,5793,"0.61","0.77",86,"0.72"
"2014 Chevrolet Corvette","14.651",104,3145,"0.36","-0.17",34,"-0.17"
"2013 Audi RS5","13.794",63,5723,"0.79","0.78",85,"1.0"
"2011 Ford Mustang GT500","13.651",97,4031,"0.52","0.08",84,"-2.0"
"2013 Audi RS5","13.794",63,5561,"0.66","0.77",82,"0.8"
"2014 Chevrolet Corvette","14.651",104,2703,"0.48","-0.65",29,"-0.17"
"2013 Audi RS5","13.794",63,5307,"0.68","0.73",78,"0.94"
"2014 Chevrolet Corvette","14.651",104,2703,"0.5","-0.76",30,"-0.17"
"2008 BMW M3","13.883",82,5790,"0.21","-1.02",72,"-0.24"
"2014 Chevrolet Corvette","14.651",104,2829,"0.56","-0.77",31,"-0.17"
"2013 Audi RS5","13.794",63,4625,"0.6","0.79",69,"0.86"
"2014 Chevrolet Corvette","14.651",104,2969,"0.56","-0.71",33,"-0.17"
"2013 Audi RS5","13.794",63,5285,"0.36","0.56",59,"0.79"
"2013 Audi RS5","13.837",95,5873,"0.64","0.63",65,"0.74"
"2013 Audi RS5","13.794",63,4492,"0.3","0.04",49,"0.92"
"2011 Ferrari 458","13.947",86,4489,"0.97","0.38",56,"0.2"
"2013 Audi RS5","13.887",96,3745,"0.52","-0.37",42,"0.75"
"2013 Audi RS5","13.887",96,5239,"0.88","-0.7",40,"0.68"
"2014 Chevrolet Corvette","14.64",105,4898,"0.89","-0.17",44,"-0.17"
"2013 Audi RS5","13.82",1,5285,"0.15","0.04",60,"1.13"
"2014 Chevrolet Corvette","14.64",105,4898,"0.86","-0.03",56,"-0.17"
"2014 Chevrolet Corvette","14.716",105,3146,"0.57","-0.55",50,"-0.17"
"2014 Chevrolet Corvette","14.64",105,5908,"0.79","0.0",65,"-0.17"
"2013 Audi RS5","13.887",96,6696,"0.84","-0.74",55,"0.62"
"2014 Chevrolet Corvette","14.64",105,4264,"0.55","0.12",69,"-0.17"
"2013 Audi RS5","13.887",96,5291,"0.77","-0.68",59,"0.64"
"2014 Chevrolet Corvette","14.64",105,4409,"0.5","0.42",71,"-0.17"
"2014 Chevrolet Corvette","14.808",105,4875,"0.54","-0.78",78,"-0.17"
"2011 Ferrari 458","13.916",83,2534,"0.97","-0.02",58,"-0.1"
"2013 Audi RS5","13.887",96,6260,"0.81","-0.32",68,"0.49"
"2014 Chevrolet Corvette","14.64",105,4631,"0.48","0.48",73,"-0.17"
"2011 Ford Mustang GT500","13.675",101,4179,"0.95","-0.96",68,"-2.0"
"2013 Audi RS5","13.903",6,6493,"0.61","-0.21",73,"0.6"
"2013 Audi RS5","13.903",6,6190,"0.51","-0.17",68,"0.91"
"2013 Audi RS5","13.903",6,5843,"0.36","0.25",65,"0.67"
"2014 Chevrolet Corvette","14.651",106,4738,"0.55","0.41",77,"-0.17"
"2013 Audi RS5","13.903",6,5669,"0.6","1.06",63,"1.02"
"2014 Chevrolet Corvette","14.651",106,4834,"0.66","-0.03",78,"-0.17"
"2015 Porsche GT3","14.02",86,2148,"0.31","0.03",11,"-2.0"
"2014 Chevrolet Corvette","14.651",106,5006,"0.55","-0.09",80,"-0.17"
"2013 Audi RS5","13.903",6,5330,"0.88","0.77",60,"0.62"
"2015 Porsche GT3","14.005",91,5310,"-0.72","-0.3",77,"-2.0"
"2013 Audi RS5","13.903",6,5091,"0.67","-0.37",56,"0.84"
"2008 BMW M3","13.826",87,5510,"0.19","-0.87",67,"-0.14"
"2013 Audi RS5","13.903",6,4834,"0.77","-0.9",54,"0.84"
"2008 BMW M3","13.877",86,2247,"0.17","-0.94",36,"-0.49"
"2011 Ford Mustang GT500","13.608",98,3923,"0.93","-0.8",65,"-2.0"
"2014 Chevrolet Corvette","14.651",106,4691,"0.51","0.58",75,"-0.17"
"2015 Porsche GT3","13.819",89,3611,"-0.48","0.11",40,"-2.0"
"2014 Chevrolet Corvette","14.612",106,4641,"0.57","0.36",74,"-0.17"
"2013 Audi RS5","13.902",98,5458,"0.83","-0.45",62,"0.45"
"2008 BMW M3","13.765",89,3816,"-0.15","-1.08",47,"0.02"
"2013 Audi RS5","13.902",98,6310,"0.74","-0.44",68,"0.37"
"2014 Chevrolet Corvette","14.612",106,4340,"0.5","0.74",71,"-0.17"
"2015 Porsche GT3","13.977",91,5660,"1.07","0.5",65,"-2.0"
"2014 Chevrolet Corvette","14.634",103,4302,"0.52","-0.26",69,"-0.17"
"2014 Chevrolet Corvette","14.896",105,4459,"0.51","-0.51",72,"-0.17"
"2014 Chevrolet Corvette","14.612",106,4220,"0.55","0.55",67,"-0.17"
"2013 Audi RS5","13.902",98,4193,"0.22","0.0",45,"1.21"
"2011 Ferrari 458","13.706",87,2008,"0.94","-0.04",45,"-0.07"
"2013 Audi RS5","13.902",98,5093,"0.54","-0.71",41,"0.86"
"2011 Ford Mustang GT500","13.737",96,3804,"0.93","-0.82",63,"-2.0"
"2013 Audi RS5","13.902",98,5300,"0.63","-0.79",41,"0.69"
"2014 Chevrolet Corvette","14.612",106,3312,"0.48","-0.8",52,"-0.17"
"2013 Audi RS5","13.969",95,5688,"0.69","-0.85",44,"0.57"
"2013 Audi RS5","13.969",95,6413,"0.84","-0.96",50,"0.64"
"2011 Ford Mustang GT500","13.759",93,4736,"0.7","-0.45",78,"-2.0"
"2013 Audi RS5","13.969",95,7680,"0.93","-0.79",60,"0.56"
"2014 Chevrolet Corvette","14.613",106,2989,"0.5","-0.64",47,"-0.17"
"2008 BMW M3","13.846",88,5486,"0.04","-1.09",68,"-0.67"
"2014 Chevrolet Corvette","14.613",106,2989,"0.54","-0.66",47,"-0.17"
"2008 BMW M3","13.834",89,1713,"0.1","-1.01",9,"0.09"
"2014 Chevrolet Corvette","14.613",106,2920,"0.73","-0.7",47,"-0.17"
"2013 Audi RS5","13.969",95,5486,"0.7","-0.87",77,"0.73"
"2014 Chevrolet Corvette","14.613",106,3197,"0.75","-0.37",52,"-0.17"
"2013 Audi RS5","13.969",95,5163,"0.68","-0.91",77,"0.68"
"2011 Ford Mustang GT500","13.766",82,1109,"0.89","0.04",8,"-2.0"
"2014 Chevrolet Corvette","14.433",105,4746,"0.33","-0.16",75,"-0.17"
"2014 Chevrolet Corvette","14.613",106,3924,"0.69","-0.32",64,"-0.17"
"2014 Chevrolet Corvette","14.613",106,4232,"0.61","-0.2",64,"-0.17"
"2014 Chevrolet Corvette","14.653",105,4232,"0.41","-0.14",68,"-0.17"
"2013 Audi RS5","14.001",29,5386,"0.21","0.0",80,"1.17"
"2014 Chevrolet Corvette","14.653",105,4202,"0.1","0.23",67,"-0.17"
"2011 Ford Mustang GT500","13.744",105,4818,"1.0","0.57",80,"-2.0"
"2014 Chevrolet Corvette","14.431",100,2979,"0.45","0.01",47,"-0.17"
"2013 Audi RS5","13.908",94,6640,"0.84","-0.11",75,"0.95"
"2014 Chevrolet Corvette","14.653",105,3905,"0.57","1.26",62,"-0.17"
"2014 Chevrolet Corvette","14.514",104,2529,"-0.04","-0.14",45,"-0.17"
"2014 Chevrolet Corvette","14.653",105,3723,"0.55","0.94",59,"-0.17"
"2013 Audi RS5","13.842",,5055,"0.13","0.17",57,"1.06"
"2014 Chevrolet Corvette","14.653",105,3475,"0.5","-0.25",59,"-0.17"
"2011 Ford Mustang GT500","13.889",109,5528,"0.83","-0.12",91,"-2.0"
"2014 Chevrolet Corvette","14.653",105,3475,"0.52","-0.69",55,"-0.17"
"2011 Ferrari 458","14.07",84,3146,"1.22","-0.14",72,"-0.12"
"2011 Ferrari 458","14.014",83,2902,"1.01","-0.04",66,"-0.07"
"2011 Ford Mustang GT500","14.018",94,6000,"0.89","0.81",99,"-2.0"
"2008 BMW M3","13.853",82,4824,"0.0","-0.96",60,"0.34"
"2014 Chevrolet Corvette","14.647",105,3326,"0.61","-0.52",54,"-0.17"
"2013 Audi RS5","13.967",3,5309,"0.62","1.0",59,"0.72"
"2008 BMW M3","13.802",89,6407,"-0.26","-1.13",80,"0.16"
"2013 Audi RS5","13.779",95,6732,"0.84","-1.14",75,"0.77"
"2014 Chevrolet Corvette","14.647",105,3885,"0.55","-0.15",63,"-0.17"
"2013 Audi RS5","13.967",3,6117,"0.9","1.0",67,"0.93"
"2014 Chevrolet Corvette","14.647",105,4063,"0.46","0.0",63,"-0.17"
"2008 BMW M3","13.821",87,5078,"0.34","-0.9",62,"0.31"
"2014 Chevrolet Corvette","14.647",105,4063,"0.03","0.02",66,"-0.17"
"2013 Audi RS5","13.967",3,6720,"0.78","0.99",75,"0.52"
"2008 BMW M3","13.871",88,753,"0.02","-1.03",9,"0.09"
"2013 Audi RS5","13.967",3,6934,"0.79","1.02",78,"0.53"
"2008 BMW M3","13.907",89,5177,"-0.08","-1.09",65,"-0.23"
"2014 Chevrolet Corvette","14.647",105,2499,"0.55","-0.87",40,"-0.17"
"2013 Audi RS5","13.991",94,2049,"0.71","-0.08",9,"0.68"
"2015 Porsche GT3","14.208",90,5822,"-0.71","-0.66",86,"-2.0"
"2013 Audi RS5","13.836",24,7816,"0.92","0.32",86,"0.59"
"2015 Porsche GT3","14.255",90,4634,"-0.95","-0.37",55,"-2.0"
"2013 Audi RS5","13.836",24,8237,"0.88","0.31",92,"0.59"
"2014 Chevrolet Corvette","14.621",105,3103,"0.72","-0.46",50,"-0.17"
"2014 Chevrolet Corvette","14.72",102,755,"0.46","0.05",4,"-0.17"
"2011 Ferrari 458","14.015",84,2218,"1.08","-0.02",50,"-0.06"
"2013 Audi RS5","13.836",24,6651,"0.91","0.04",100,"0.72"
"2014 Chevrolet Corvette","14.621",105,4088,"0.6","-0.2",67,"-0.17"
"2013 Audi RS5","13.836",24,5634,"0.7","0.07",96,"0.97"
"2014 Chevrolet Corvette","14.751",104,4735,"0.45","0.35",77,"-0.17"
"2013 Audi RS5","13.836",24,4887,"0.46","0.02",93,"0.71"
"2014 Chevrolet Corvette","14.659",103,4278,"-0.01","0.06",97,"-0.17"
"2011 Ford Mustang GT500","13.698",89,2679,"0.94","0.11",32,"-2.0"
"2014 Chevrolet Corvette","14.621",105,4326,"0.44","-0.75",70,"-0.17"
"2014 Chevrolet Corvette","14.534",102,3895,"0.43","-0.06",62,"-0.17"
"2013 Audi RS5","13.84",8,5397,"0.22","0.0",61,"1.2"
"2014 Chevrolet Corvette","14.621",105,4217,"0.6","-0.34",67,"-0.17"
"2015 Porsche GT3","14.015",90,4745,"-0.81","-0.58",39,"-2.0"
"2014 Chevrolet Corvette","14.621",105,4166,"0.53","0.0",67,"-0.17"
"2013 Audi RS5","13.863",9,4077,"0.58","-0.91",45,"0.89"
